1, 2.05
2, 4.10
3, 6.10
4, 8.02
5, 9.93
6, 11.80
7, 13.73
8, 15.67
9, 17.62
10, 19.41
11, 21.28
12, 23.22
13, 25.07
14, 27.12
15, 28.73
16, 30.65
17, 32.54
18, 34.28
19, 36.58
20, 38.86
21, 40.91
22, 42.85
23, 48.92
24, 50.77
25, 51.49
26, 53.84
27, 56.43
28, 57.65
29, 59.44
30, 61.49
31, 63.85
32, 63.57
33, 64.50
34, 67.20
35, 71.66
36, 73.76
37, 75.18
38, 76.51
39, 78.51
40, 80.54
41, 82.29
42, 84.14
43, 86.60
44, 88.59
45, 90.64
46, 92.60
47, 93.98
48, 96.60
49, 98.66
50, 100.15
51, 102.61
52, 103.88
53, 105.88
54, 108.61
55, 110.29
56, 112.18
57, 114.05
58, 116.57
59, 117.90
60, 120.53
61, 121.74
62, 124.13
63, 126.58
64, 128.96
65, 130.90
66, 132.61
67, 134.45
68, 136.56
69, 138.52
70, 140.59
71, 142.62
72, 144.68
73, 146.69
74, 148.66
75, 150.83
76, 152.91
77, 148.73
78, 150.99
79, 151.54
80, 152.79
81, 152.06
82, 153.00
83, 155.58
84, 157.19
85, 159.38
86, 161.40
87, 163.25
88, 165.28
89, 166.73
90, 168.96
91, 170.60
92, 172.18
93, 174.07
94, 175.87
95, 177.87
96, 179.62
97, 181.50
98, 183.36
99, 185.35
100, 187.19
101, 189.05
102, 190.97
103, 192.78
104, 194.63
105, 196.57
106, 198.30
107, 200.13
108, 202.02
109, 203.99
110, 205.74
111, 207.69
112, 209.49
113, 211.33
114, 213.29
115, 215.06
116, 217.00
117, 218.84
118, 220.76
119, 222.59
120, 224.50
121, 225.94
122, 227.89
123, 229.88
124, 231.49
125, 233.52
126, 235.27
127, 237.04
128, 239.18
