1, 3.54
2, 4.03
3, 5.93
4, 8.44
5, 11.05
6, 11.69
7, 13.63
8, 15.55
9, 17.49
10, 19.42
11, 22.21
12, 23.30
13, 25.27
14, 27.21
15, 29.75
16, 31.08
17, 33.03
18, 35.33
19, 36.94
20, 38.82
21, 40.96
22, 42.63
23, 44.85
24, 46.46
25, 48.79
26, 50.31
27, 52.80
28, 54.18
29, 56.40
30, 58.06
31, 60.29
32, 63.39
33, 63.07
34, 65.28
35, 67.15
36, 68.77
37, 75.09
38, 72.89
39, 74.88
40, 76.39
41, 78.56
42, 80.60
43, 82.56
44, 84.32
45, 86.01
46, 88.13
47, 90.91
48, 91.36
49, 93.44
50, 95.11
51, 96.97
52, 99.00
53, 101.02
54, 102.83
55, 104.59
56, 107.37
57, 108.54
58, 111.84
59, 111.70
60, 113.70
61, 115.59
62, 117.26
63, 119.49
64, 121.40
65, 123.42
66, 125.03
67, 127.96
68, 127.88
69, 129.97
70, 131.49
71, 133.47
72, 135.61
73, 137.16
74, 138.98
75, 141.30
76, 142.80
77, 143.42
78, 145.35
79, 147.23
80, 149.03
81, 151.08
82, 152.73
83, 155.36
84, 155.02
85, 157.29
86, 158.88
87, 160.86
88, 162.70
89, 164.35
90, 166.58
91, 167.34
92, 168.81
93, 170.87
94, 172.72
95, 174.63
96, 177.14
97, 177.54
98, 179.50
99, 181.07
100, 183.17
101, 185.17
102, 186.71
103, 188.53
104, 190.48
105, 192.34
106, 194.02
107, 195.81
108, 197.72
109, 199.59
110, 201.40
111, 203.12
112, 205.62
113, 206.95
114, 208.67
115, 210.47
116, 212.45
117, 214.37
118, 216.84
119, 218.14
120, 219.92
121, 221.72
122, 223.75
123, 225.59
124, 227.22
125, 228.95
126, 231.17
127, 232.65
128, 234.28
